id,user_id,name,url_part,accessory
91727,4499070,"Elephone P8000",elephone_p8000,http://4pda.ru/devdb/elephone_p8000
91805,4496063,"Honor 4C CHM-U01",huawei_honor_4c,
91819,4495418,"HTC Desire 310 ",htc_desire_310,
91820,4495418,"Motorola DROID RAZR MAXX HD",motorola_droid_razr_maxx_hd,
91854,4493328,"Xiaomi Mi 4 WCDMA",xiaomi_mi4,
91861,4492813,"OnePlus One",oneplus_one,
91873,4492165,NULL,,
91896,4490775,"Onkyo Granbeat",onkyo_granbeat,
91897,4490775,"Sony Xperia Z5 Compact",sony_xperia_z5_compact,
91917,4489833,"OnePlus Two",oneplus_two,
91935,4489143,"Meizu M3",meizu_m3_mini,
91936,4489143,"Meizu M3s 2/16",meizu_m3s,
91937,4489143,"Meizu M6 2/16",meizu_m6,
91938,4489143,"LG L50",lg_l50,
91939,4489143,"LG G2 mini",lg_g2_mini,
91947,4488815,"Meizu M3s 3/32",meizu_m3s:3_32,
91948,4488815,"Nokia Lumia 520",nokia_lumia_520,
91949,4488815,"Apple iPhone 5c",apple_iphone_5c,
91988,4488004,"Xiaomi Mi 5",xiaomi_mi5,
91989,4488004,"Xiaomi MiPad",xiaomi_mipad,
91990,4488004,"Highscreen Thor ",highscreen_thor,
91991,4487941,"Xiaomi Redmi Note 4 4/64",xiaomi_redmi_note_4:4_64,
92038,4486668,"Samsung Galaxy Tab 10.1",samsung_galaxy_tab_10_1,
92039,4486668,"Sony Xperia J",sony_xperia_j,
92040,4486668,"Explay Alto",exlpay_alto,
92137,4483283,"Xiaomi Redmi 3S Prime",xiaomi_redmi_3s:redmi_3s_pro,"Xiaomi Mi Piston Basic Edition"
92138,4483283,"LG L40 Dual ",lg_l40_dual,
92139,4483283,"Prestigio Grace X3",prestigio_grace_x3,
92140,4483283,"HTC One S",htc_one_s,
92146,4482772,"ZTE Blade L3",zte_blade_l3,
92147,4482772,"Lenovo A369i",lenovo_a369i,
92154,4482613,"Google Pixel",google_pixel,
92155,4482613,"Asus MeMO Pad FHD 10 LTE",asus_memo_pad_fhd_10:lte,
92163,4482318,"Highscreen Prime L",highscreen_prime_l,
92164,4482318,"Samsung Galaxy Gio GT-S5660",samsung_gt_s5660_galaxy_gio,
92170,4482143,"Samsung Galaxy Alpha SM-G850F",samsung_sm_g850_galaxy_alpha,
92171,4482143,"Sony Ericsson K510i",sony_ericsson_k510i,
92172,4482143,"Nokia 5300 XpressMusic",nokia_5300_xpressmusic,
92173,4482143,"Nokia 5228",nokia_5228,
92174,4482143,"LG L90",lg_l90,
92221,4480409,"Xiaomi Redmi 4A",xiaomi_redmi_4a,
92222,4480409,"Samsung Galaxy Ace 2 GT-I8160",samsung_gt_i8160_galaxy_ace_2,
92223,4480409,"Tele2 Mini (1.1)",tele2_mini_1_1,
92224,4480409,"МТС Smart Start 2",mts_smart_start_2,
92225,4480409,"Samsung Galaxy Ace GT-S5830",samsung_gt_s5830_galaxy_ace,
92245,4479759,"Apple iPhone 5s",apple_iphone_5s,
92249,4479685,"OnePlus 5T 8/128",oneplus_5t:8_128,
92250,4479685,"Fly Evo Chic 3 IQ4413",fly_iq4413_quad_evo_chic_3,
92251,4479685,"LG G2",lg_g2,
92252,4479685,"Meizu M3s 2/16",meizu_m3s,
92253,4479685,"OnePlus One",oneplus_one,
92374,4475202,"Xiaomi Redmi Note 3 Pro Standard",xiaomi_redmi_note_3_pro,
92375,4475202,"HTC Desire 210 Dual Sim",htc_desire_210_dual_sim,
92376,4475202,"Samsung Galaxy Tab 4 10.1 SM-T531",samsung_galaxy_tab_4_10_1:3g,
92377,4475202,"DNS S4506",dns_s4506,
92391,4474758,"Bravis Terra",bravis_terra,
92416,4473365,NULL,,
92431,4472883,"Xiaomi Redmi 4X 3/32",xiaomi_redmi_4x:3_32,
92432,4472883,"Nomi i504 Dream",nomi_i504_dream,
92433,4472883,"Fly Spark IQ4404",fly_iq4404_spark,
92479,4470839,"Xiaomi Mi 5",xiaomi_mi5,
92572,4466942,"Samsung Galaxy S7 EDGE SM-G935F",samsung_galaxy_s7_edge,
92581,4466577,"Xiaomi Mi 5S 3/64",xiaomi_mi_5s,
92599,4465731,"Highscreen Zera F rev.S",highscreen_zera_f_rev_s,
92610,4465362,"Apple iPhone 6",iphone_6,
92653,4463926,"Sharp AQUOS ZETA SH-01G",sharp_sh_01g_aquos_zeta,
92679,4463004,"ZTE Blade L2",zte_blade_l2,
92680,4462995,"OnePlus 5T 8/128",oneplus_5t:8_128,
92681,4462995,"Xiaomi Mi A1 4/64",xiaomi_mi_a1,
92682,4462995,"Xiaomi Redmi Note 3 Pro Standard",xiaomi_redmi_note_3_pro,
92726,4461386,"МТС Smart Run 4G",mts_smart_run_4g,
92753,4459873,"PiPO U8 Ultra",pipo_u8_ultra,
92835,4456882,"Huawei Ascend P7",huawei_ascend_p7,
92837,4456822,"Apple iPhone 6s",iphone_6s,"iOS 11.1"
92838,4456822,"HTC 8X",htc_8x,"WP 8,1"
92839,4456822,"Samsung Galaxy S6 SM-G920F",samsung_sm_g920f_galaxy_s6,"A 6.0"
92840,4456822,"HTC One (M8)",htc_one_m8,"Android 6.0"
92841,4456822,"Apple iPhone 5s",apple_iphone_5s,"iOS 9.3"
92844,4456571,"Xiaomi Mi 5S 3/64",xiaomi_mi_5s,
92864,4456142,NULL,,
92874,4455549,"Honor 8 FRD-L09",honor_8,
92875,4455549,"OnePlus One",oneplus_one,
92898,4454843,"Micromax Canvas Fire A093",micromax_canvas_fire_a093,
92900,4454722,"Apple iPhone 6s",iphone_6s,
92901,4454722,"LG Optimus Sol",lg_optimus_sol,
92902,4454722,"Samsung Galaxy Tab 4 10.1 SM-T531",samsung_galaxy_tab_4_10_1:3g,
92903,4454722,"Lenovo S90",lenovo_s90,
92923,4454156,"Xiaomi Redmi 3S Prime",xiaomi_redmi_3s:redmi_3s_pro,
92924,4454156,"Xiaomi Redmi 3S ",xiaomi_redmi_3s,
92925,4454156,"Asus MeMO Pad FHD 10 LTE",asus_memo_pad_fhd_10:lte,
92926,4454156,"LG G3 S",lg_g3_s,
92927,4454156,"Asus  FonePad HD 7",asus_fonepad_hd_7,
93012,4450343,"Nokia Lumia 820",nokia_lumia_820,
93013,4450343,"Asus ZenFone C ZC451CG",asus_zenfone_c,
